citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Pota2025,ARTICLE,"Neuroendoscopy and Postoperative Nausea and Vomiting: Pathophysiology, Incidence and Management Strategies","Pota, Vincenzo and Coletta, Francesco and Pascazio, Francesca and Rinaldi, Pasquale and Tomasello, Antonio and De Marco, Giovanna Paola and Schettino, Francesca and Passavanti, Maria Beatrice and Sansone, Pasquale and Pace, Maria Caterina and Barbarisi, Manlio and Altieri, Roberto and Villani, Romolo and Coppolino, Francesco",2025,Brain Sciences,10.3390/brainsci15060586,https://www.scopus.com/pages/publications/105009107524?origin=resultslist,,15,6,Review,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True
Zhang2024,ARTICLE,Plant-derived bioactive compounds and their novel role in central nervous system disorder treatment via ATF4 targeting: A systematic literature review,"Zhang, Nan and Zhang, Shun and Dong, Xiaoyu",2024,Biomedicine and Pharmacotherapy,10.1016/j.biopha.2024.116811,https://www.scopus.com/pages/publications/85193805724?origin=resultslist,,176,,Review,Cited by: 20; All Open Access; Gold Open Access,True,True,False
Dainton-Howard2025167,ARTICLE,James Parkinson and Other Historical Aspects of Parkinson's Disease,"Dainton-Howard, Helen L. and Goetz, Christopher G.",2025,Neurologic Clinics,10.1016/j.ncl.2024.12.002,https://www.scopus.com/pages/publications/105001590900?origin=resultslist,167 - 184,43,2,Review,Cited by: 3,False,False,False
Ghannam2025,ARTICLE,Peroxisome proliferator-activated receptors (PPARs) agonists as promising neurotherapeutics,"Ghannam, Iman A.Y. and Hassan, Rasha M. and Abdel-Maksoud, Mohammed S.",2025,Bioorganic Chemistry,10.1016/j.bioorg.2025.108226,https://www.scopus.com/pages/publications/85216639968?origin=resultslist,,156,,Review,Cited by: 12,False,False,False
Shoyama2025,ARTICLE,Therapeutic Potential of the Cannabinoid System and Acupuncture in Neurodegenerative Brain Disorders: a Comprehensive Review,"Shoyama, Yukihiro",2025,Innovations in Acupuncture and Medicine,10.1186/s44424-025-00013-3,https://www.scopus.com/pages/publications/105018717527?origin=resultslist,,18,1,Review,Cited by: 3; All Open Access; Hybrid Gold Open Access,True,True,False
Jali2024,ARTICLE,Navigating Preclinical Models and Medications for Peripheral Neuropathy: A Review,"Jali, Abdulmajeed M. and Banji, David and Banji, Otilia J. F. and Hurubi, Khalid Y. and Tawhari, Faisal Y. and Alameer, Atheer A. and Dohal, Atyaf S. and Zanqoti, Raha A.",2024,Pharmaceuticals,10.3390/ph17081010,https://www.scopus.com/pages/publications/85202454417?origin=resultslist,,17,8,Review,Cited by: 15; All Open Access; Gold Open Access; Green Open Access,True,True,True
Purushothaman202611,ARTICLE,"Unveiling Neurological Benefits: A Review of Hemp Leaf, Flower, Seed Oil Extract, and Their Phytochemical Properties in Neurological Disorders","Purushothaman, Atchuthan and Krishnan, Anju",2026,Cannabis and Cannabinoid Research,10.1177/25785125251410822,https://www.scopus.com/pages/publications/105032122987?origin=resultslist,11 - 29,11,1,Review,Cited by: 2,False,False,False
Singh2025203,ARTICLE,Cannabidiol and cognition: A literature review of human randomized controlled trials,"Singh, Jyotpal and Ellingson, Chase J. and Abdullah Shafiq, M. and Alcorn, Jane and Patrick Neary, J.",2025,Behavioural Pharmacology,10.1097/FBP.0000000000000837,https://www.scopus.com/pages/publications/105009291651?origin=resultslist,203 - 216,36,5,Review,Cited by: 3,False,False,False
Turizo Smith2026,ARTICLE,GPR55 and PINK1 as emerging therapeutic targets in Glioma: insights into their modulation by phytochemicals and plant extracts,"Turizo Smith, Andres David and Martinez Perez, Jean Carlos and Marin Loaiza, Juan Camilo and Arboleda, Gonzalo",2026,Frontiers in Pharmacology,10.3389/fphar.2026.1760169,https://www.scopus.com/pages/publications/105046875494?origin=resultslist,,17,,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Sharma202595,ARTICLE,The impact of pharmacological agents on neuroinflammation in neurodegenerative diseases,"Sharma, Anurag and Khan, Zoya and Nath, Rajendra and Dixit, Rakesh Kumar",2025,Acta Marisiensis - Seria Medica,10.2478/amma-2025-0018,https://www.scopus.com/pages/publications/105010650489?origin=resultslist,95 - 105,71,2,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Bochniak2024,ARTICLE,Current Perspectives on Olfactory Loss in Atypical Parkinsonisms—A Review Article,"Bochniak, Katarzyna and Soszyński, Mateusz and Madetko-Alster, Natalia and Alster, Piotr",2024,Biomedicines,10.3390/biomedicines12102257,https://www.scopus.com/pages/publications/85207671905?origin=resultslist,,12,10,Review,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True
Persico2025,ARTICLE,The pediatric psychopharmacology of autism spectrum disorder: A systematic review - Part II: The future,"Persico, Antonio M. and Asta, Lisa and Chehbani, Fethia and Mirabelli, Silvestro and Parlatini, Valeria and Cortese, Samuele and Arango, Celso and Vitiello, Benedetto",2025,Progress in Neuro-Psychopharmacology and Biological Psychiatry,10.1016/j.pnpbp.2024.111176,https://www.scopus.com/pages/publications/85208032160?origin=resultslist,,136,,Review,Cited by: 12,False,False,False
Guo2025,ARTICLE,"Transient Receptor Potential Channels as Key Regulators of Neuroinflammation in Neurological Disorders: Mechanistic Insights, Therapeutic Potentials, and Future Directions","Guo, Daji and Cai, Mengjiao and Xian, Yanmin and Chen, Yinyin and Feng, Yujun and Hu, Chun and Zeng, Lizhang and Shi, Lei and Zhang, Shiqing",2025,CNS Neuroscience and Therapeutics,10.1002/cns.70700,https://www.scopus.com/pages/publications/105024915125?origin=resultslist,,31,12,Review,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True
